Type of Fish,Average Price (USD),Average Size (oz),price_per_oz
Spainish anchovy,21.0,3.5,6.0
Italian anchovy,10.75,3.17,3.3911671924290223
French anchovy,8.75,2.98,2.936241610738255
Portuguese mackerel,9.5,4.2,2.261904761904762
Spanish mackerel,9.75,4.1,2.378048780487805
French mackerel,9.0,5.36,1.6791044776119401
Portuguese sardine,8.0,4.2,1.9047619047619047
French sardine,10.5,4.0,2.625
Spanish sardine,11.0,4.2,2.619047619047619
Spanish tuna,20.0,4.0,5.0
Portuguese tuna,11.0,4.2,2.619047619047619
Italian tuna,13.0,6.75,1.9259259259259258
